parcel_id,source_id,observation_time,air_temperature_c,dewpoint_temperature_c,relative_humidity_pct,precipitation_m,solar_radiation_jm2,wind_u_10m,wind_v_10m,evaporation_m
1,3,2023-04-06 12:00:00,24.952179,0.10543823,19.526785,0.0,3.190016e+06,-1.3699036,-1.0215607,-0.00019436586
1,3,2023-04-07 12:00:00,24.46231,0.8215027,21.174313,0.0,3.206144e+06,0.29994202,-0.29963684,-0.00018184376
1,3,2023-04-08 12:00:00,26.13028,-1.0629272,16.722662,0.0,3.2256e+06,-0.38833618,0.67829895,-0.00018111989
1,3,2023-04-09 12:00:00,26.170807,6.752777,29.027855,0.0,3.174272e+06,1.142456,-0.45726013,-0.00017259247
1,3,2023-04-10 12:00:00,24.012115,3.6561584,26.618898,0.0,3.264512e+06,2.1755676,-2.1506042,-0.00015592226
1,3,2023-04-11 12:00:00,23.553375,10.249847,43.001713,0.0,3.1872e+06,1.8851624,-1.1148529,-0.00016009761
1,3,2023-04-12 12:00:00,19.44107,8.357025,48.698257,0.0,2.715904e+06,4.431259,-1.8459625,-0.00011832174
1,3,2023-04-13 12:00:00,16.954254,0.112213135,31.94373,0.0,3.279616e+06,1.4467926,-3.7606049,-0.0001409608
1,3,2023-04-14 12:00:00,19.771393,8.126678,46.969803,0.0,3.16832e+06,2.615387,-2.9843597,-0.00014553661
1,3,2023-04-15 12:00:00,23.988678,3.6871643,26.714628,0.0,3.265792e+06,-0.25131226,-4.290039,-0.00016689021
1,3,2023-04-16 12:00:00,26.090729,4.9892273,25.817686,0.0,3.283584e+06,-3.5783386,-2.518631,-0.00016218424
1,3,2023-04-17 12:00:00,27.512115,-1.7236633,14.6877575,0.0,3.34912e+06,-4.142288,-2.4905396,-0.00016195513
1,3,2023-04-18 12:00:00,27.084625,1.3358154,18.808414,0.0,3.335936e+06,-0.41108704,-0.98535156,-0.00017210026
1,3,2023-04-19 12:00:00,25.9794,6.382904,28.62118,0.0,3.305728e+06,0.9598236,-0.6334381,-0.00014974782
1,3,2023-04-20 12:00:00,24.2753,5.559845,29.928001,0.0,3.302848e+06,2.038025,-0.10342407,-0.00013829372
1,3,2023-04-21 12:00:00,21.816803,7.7774963,40.442814,0.0,3.143104e+06,3.1078186,3.9375763,-0.000119969016
1,3,2023-04-22 12:00:00,19.73941,6.1089478,40.99176,0.0,3.011712e+06,1.5992279,-2.2799377,-0.00017272634
